school_id,song name,lyrics,Latitude,Longitude
boston_college,For Boston,"For Boston, for Boston, 
We sing our proud refrain! 
For Boston, for Boston, 
'Tis Wisdom's earthly fane. 
For here all are one 
And their hearts are true, 
And the towers on the Heights 
Reach to Heav'ns own blue. 
For Boston, for Boston, 
Till the echoes ring again!

For Boston, for Boston, 
Thy glory is our own! 
For Boston, for Boston, 
'Tis here that Truth is known. 
And ever with the Right 
Shall thy heirs be found, 
Till time shall be no more 
And thy work is crown'd. 
For Boston, for Boston, 
For Thee and Thine alone.",42.3355,71.1685
clemson,Tiger Rag,"Long ago, way down in the jungle
Someone got an inspiration for a tune
And that jingle came from the jungle
Became famous mighty soon
Thrills and chills it sends through you
Hot so hot it burns you too
Though it's just the growl of the Tiger
It was written in a syncopated way
More and more, they yell for the Tiger
Everywhere you go today, they're shoutin'
Where's that Tiger?
Where's that Tiger?
Where's that Tiger?
Where's that Tiger?
Hold that Tiger!
Hold that Tiger!
Hold that Tiger!
C-L-E-M-S-O… N!",34.6834,82.8374
duke,Fight Blue Devils,"Fight, Fight Blue Devils
Fight for Duke and the Blue and White
March on through
For the touchdown's there for you
Go get 'em
Duke is out to win today
Carolina goodnight
So turn on the steam team
Fight Blue Devils Fight",36.0014,78.9382
florida_state,FSU Fight Song,"You got to fight, fight, fight, for FSU!
You got to scalp 'em Seminoles!
You got to win, win, win, win this game, and
Roll on down and make those goals!
For FSU is on the warpath now, and
at the battle's end she's great!
So fight, fight, fight, fight, for victory
the Seminoles of Florida State!
F-L-O-R-I-D-A S-T-A-T-E
Florida State, Florida State, Florida State!",27.6648,81.5158
georgia_tech,Ramblin' Wreck From Georgia Tech,"I’m a Ramblin’ Wreck from Georgia Tech and a hell of an engineer A helluva’, helluva helluva helluva helluva engineer Like all the jolly good fellows I drink my whiskey clear I’m a Ramblin’ Wreck from Georgia Tech and a hell of an engineer Oh, if I had a daughter sir, I’d dress her in white and gold And put her on the campus, sir, to cheer on the brave and bold And if I had a son, sir, I’d tell you what he’d do He would yell “To Hell With georgia” like his daddy used to do Oh, I wish I had a barrel of rum and sugar three thousand pounds A college bell to put it in and a clapper to stir it around I’d drink to all the good fellows who come from far and near I’m a ramblin’ gamblin’ hell of an engineer! Hey!",33.778,84.398
louisville,Fight! U of L,"Fight now for victory and show them
How we sure will win this game
Fight on you Card'nals and prove to them
That we deserve our fame.
Rah, Rah, Rah!
Roll up the score now and beat the foe
So we can give a yell
With a FIGHT! give them all you've got
For we are with you U of L.",38.2158,85.7614
miami,Miami U How-Dee-Doo,"Miami, Miami, Miami, Hurricanes
Drive, Drive, you Hurricanes
Keep right on goin, up that scorin'
Miami, Miami, Miami, Hurricanes
Drive on over the goal and on to victory.
M-I-A-M-I, M-I-A-M-I, fight,fight,fight.",25.717,80.2798
north_carolina,I'm a Tar Heel Born,"I'm a Tar Heel born, I'm a Tar Heel bred
And when I die, I'm a Tar Heel dead
So it's rah-rah, Car'lina-'lina
Rah-rah, Car'lina-'lina
Rah-rah, Car'lina-'lina
Rah, rah, rah!",35.9049,79.0469
north_carolina_state,The Red & White Song,"We're the Red and White from State
And we know we are the best
A hand behind our back
We can take on all the rest
Come over the hill, Caroline
Devils and Deacs stand in line
The Red and White from N.C. State
Go State!",35.7851,78.6813
pitt,Hail to Pitt,"Hail to Pitt, hail to Pitt every loyal son!
Hail to Pitt, hail to Pitt 'til the victory is won!
The Gold and Blue shall wave forever
On high through fair and stormy weather
We'll sing her praises far and wide
Until the end of time!
Hooperay, hooperay for dear old U-N-I
We'll give a grand old alleghenee, genac, genac, genac!
We'll wave and cheer for many a year
And sing our songs out loud and clear
For our university",40.4445,79.9613
